iter	MultiClass
0	1.595299626
1	1.581716081
2	1.568572285
3	1.555873308
4	1.548321739
5	1.535942508
6	1.523654564
7	1.516216086
8	1.508721027
9	1.49776729
10	1.486752887
11	1.475548289
12	1.466095624
13	1.459996182
14	1.450545637
15	1.441505484
16	1.43580091
17	1.430175178
18	1.424671309
19	1.415746983
20	1.410481947
21	1.401235647
22	1.392904699
23	1.387877918
24	1.38283574
25	1.374600129
26	1.36996179
27	1.361875554
28	1.357381775
29	1.349705006
30	1.341968745
31	1.334732346
32	1.327300614
33	1.320337827
34	1.313384476
35	1.306760133
36	1.300281417
37	1.296399002
38	1.292713728
39	1.286820451
40	1.283024767
41	1.276925009
42	1.271075011
43	1.266739455
44	1.263302671
45	1.260013741
46	1.254205106
47	1.24876586
48	1.243718907
49	1.240497815
50	1.234845904
51	1.229583399
52	1.2266386
53	1.221729111
54	1.216426202
55	1.211351914
56	1.208532719
57	1.203588111
58	1.199387552
59	1.19668702
60	1.192325929
61	1.189800431
62	1.185713048
63	1.181780333
64	1.179383688
65	1.177054739
66	1.17285784
67	1.16852502
68	1.164415019
69	1.160453833
70	1.15648408
71	1.152759099
72	1.150604725
73	1.146860062
74	1.144845812
75	1.142802843
76	1.139091058
77	1.135619702
78	1.13373004
79	1.130476638
80	1.12862716
81	1.125210322
82	1.121981919
83	1.11853599
84	1.115445212
85	1.112152319
86	1.110496716
87	1.108836997
88	1.107149928
89	1.105564462
90	1.103979569
91	1.102353734
92	1.100814803
93	1.097662627
94	1.094761412
95	1.092035173
96	1.088938764
97	1.086202879
98	1.083372059
99	1.081991961
