iter	Passed	Remaining
0	1247	123485
1	1878	92069
2	2521	81533
3	3124	74978
4	3738	71034
5	4361	68334
6	4972	66061
7	5596	64356
8	6288	63586
9	6942	62486
10	7568	61237
11	8217	60259
12	8882	59441
13	9549	58661
14	10212	57869
15	10878	57110
16	11518	56237
17	12154	55370
18	12774	54458
19	13401	53604
20	14019	52738
21	14657	51965
22	15305	51240
23	15960	50543
24	16626	49878
25	17289	49208
26	17954	48542
27	18660	47984
28	19340	47351
29	20031	46739
30	20755	46198
31	21420	45518
32	22093	44855
33	22756	44175
34	23397	43452
35	24035	42729
36	24676	42016
37	25310	41295
38	25952	40592
39	26589	39884
40	27231	39187
41	27894	38521
42	28575	37879
43	29248	37225
44	29886	36527
45	30535	35846
46	31200	35184
47	31855	34509
48	32502	33829
49	33145	33145
50	33800	32475
51	34446	31797
52	35086	31114
53	35747	30451
54	36424	29802
55	37100	29150
56	37768	28492
57	38434	27832
58	39096	27168
59	39729	26486
60	40377	25814
61	41021	25142
62	41668	24471
63	42311	23800
64	42957	23130
65	43609	22465
66	44282	21810
67	44942	21149
68	45597	20485
69	46250	19821
70	46913	19161
71	47581	18503
72	48242	17843
73	48896	17180
74	49562	16520
75	50229	15861
76	50907	15206
77	51573	14546
78	52231	13884
79	52880	13220
80	53527	12555
81	54177	11892
82	54827	11229
83	55485	10568
84	56153	9909
85	56823	9250
86	57503	8592
87	58168	7932
88	58835	7271
89	59488	6609
90	60148	5948
91	60814	5288
92	61480	4627
93	62173	3968
94	62849	3307
95	63521	2646
96	64193	1985
97	64861	1323
98	65521	661
99	66183	0
